URL,性能分数,LCP,LCP评级,TTFB,TTFB评级,FCP,FCP评级,TBT,TBT评级,CLS,CLS评级,INP,INP评级,LCP元素/来源,最大阻塞资源,INP交互元素,错误信息
https://www.ainvest.com/news/work-medical-wok-plummets-95-6-volatility-2512/,46,3.65s,NI,44ms,GOOD,2.60s,NI,5.05s,POOR,0.0287818426481505,GOOD,,N/A,"","","",
https://www.ainvest.com/news/brazils-real-tumbles-2-3-bolsonaro-endorsement-spooks-investors-2512/,35,6.76s,POOR,100ms,GOOD,2.43s,NI,4.09s,POOR,0.01901996917159774,GOOD,,N/A,"","","",
https://www.ainvest.com/news/widespread-outages-amazon-web-services-thousands-websites-offline-2512/,32,15.63s,POOR,131ms,GOOD,2.42s,NI,4.20s,POOR,0.06230338448229695,GOOD,,N/A,"","","",
https://www.ainvest.com/news/fatal-accident-fosterville-gold-53-year-man-dies-trapped-machinery-2512/,32,13.55s,POOR,142ms,GOOD,2.45s,NI,4.47s,POOR,0.023091568345118944,GOOD,,N/A,"","","",
https://www.ainvest.com/news/trump-launched-deadly-strike-isis-terrorist-nigeria-2512/,30,15.56s,POOR,143ms,GOOD,2.42s,NI,4.33s,POOR,0.09793092076668525,GOOD,,N/A,"","","",
https://www.ainvest.com/news/video-100-honest-review-deephash-deephash-legit-scam-pay-2511/,16,15.81s,POOR,33ms,GOOD,2.29s,NI,3.94s,POOR,0.3493965417015583,POOR,,N/A,"","","",
https://www.ainvest.com/news/aimei-health-afjk-surges-482-intraday-trading-fueling-volatility-2512/,31,14.25s,POOR,43ms,GOOD,2.57s,NI,5.54s,POOR,0.023091568345118944,GOOD,,N/A,"","","",
https://www.ainvest.com/news/sap-stock-slumps-falling-employee-trust-restructuring-frustrations-2511/,36,5.59s,POOR,47ms,GOOD,2.44s,NI,4.61s,POOR,0.058697408151395694,GOOD,,N/A,"","","",
https://www.ainvest.com/news/bitcoin-news-today-krugman-bitcoin-plunge-tied-fading-trump-trade-speculation-2512/,47,3.67s,NI,28ms,GOOD,2.43s,NI,3.73s,POOR,0.014997581716859944,GOOD,,N/A,"","","",
https://www.ainvest.com/news/dogs-dow-contrarian-strategy-2025-2026-2511/,32,32.51s,POOR,227ms,GOOD,2.44s,NI,5.28s,POOR,0.03788674433744872,GOOD,,N/A,"","","",
https://www.ainvest.com/news/strategic-financial-implications-potential-chubb-aig-merger-2512/,47,3.64s,NI,26ms,GOOD,2.43s,NI,5.11s,POOR,0.03313621524965704,GOOD,,N/A,"","","",
